area_num,area_codigo,departamento,grupo_edad,hombres,mujeres,total_poblacion
18,AREA # 18,Moquegua,60-64,2639,2204,4843
18,AREA # 18,Moquegua,65-69,2129,1769,3898
18,AREA # 18,Moquegua,70-74,1625,1298,2923
18,AREA # 18,Moquegua,75-79,1218,1028,2246
18,AREA # 18,Moquegua,80-84,606,649,1255
18,AREA # 18,Moquegua,85-89,375,367,742
18,AREA # 18,Moquegua,90-94,118,152,270
18,AREA # 18,Moquegua,95-99,77,110,187
19,AREA # 19,Pasco,0-4,14805,14285,29090
19,AREA # 19,Pasco,10-14,17637,16663,34300
19,AREA # 19,Pasco,15-19,15521,14948,30469
19,AREA # 19,Pasco,20-24,13922,13365,27287
19,AREA # 19,Pasco,25-29,12458,11797,24255
19,AREA # 19,Pasco,30-34,10714,9822,20536
19,AREA # 19,Pasco,35-39,9823,9496,19319
19,AREA # 19,Pasco,40-44,8441,7643,16084
19,AREA # 19,Pasco,45-49,6844,6235,13079
19,AREA # 19,Pasco,5-9,14988,14218,29206
19,AREA # 19,Pasco,50-54,5287,4760,10047
19,AREA # 19,Pasco,55-59,3937,3611,7548
19,AREA # 19,Pasco,60-64,3087,2833,5920
19,AREA # 19,Pasco,65-69,2462,2383,4845
19,AREA # 19,Pasco,70-74,1788,1684,3472
19,AREA # 19,Pasco,75-79,1303,1224,2527
19,AREA # 19,Pasco,80-84,662,696,1358
19,AREA # 19,Pasco,85-89,331,379,710
19,AREA # 19,Pasco,90-94,70,136,206
19,AREA # 19,Pasco,95-99,65,126,191
20,AREA # 20,Piura,0-4,95075,92326,187401
20,AREA # 20,Piura,10-14,97903,94695,192598
20,AREA # 20,Piura,15-19,87865,84751,172616
20,AREA # 20,Piura,20-24,72040,73607,145647
20,AREA # 20,Piura,25-29,63236,67322,130558
20,AREA # 20,Piura,30-34,57089,60992,118081
20,AREA # 20,Piura,35-39,51266,56006,107272
20,AREA # 20,Piura,40-44,47756,49677,97433
20,AREA # 20,Piura,45-49,41961,43111,85072
20,AREA # 20,Piura,5-9,87773,85094,172867
20,AREA # 20,Piura,50-54,35414,35558,70972
20,AREA # 20,Piura,55-59,24525,24314,48839
20,AREA # 20,Piura,60-64,21449,21255,42704
20,AREA # 20,Piura,65-69,16602,16456,33058
20,AREA # 20,Piura,70-74,13794,13563,27357
20,AREA # 20,Piura,75-79,10747,10525,21272
20,AREA # 20,Piura,80-84,5889,6038,11927
20,AREA # 20,Piura,85-89,3251,3700,6951
20,AREA # 20,Piura,90-94,1045,1318,2363
20,AREA # 20,Piura,95-99,523,804,1327
21,AREA # 21,Puno,0-4,62229,59527,121756
21,AREA # 21,Puno,10-14,76491,71963,148454
21,AREA # 21,Puno,15-19,66343,64015,130358
21,AREA # 21,Puno,20-24,57307,57624,114931
21,AREA # 21,Puno,25-29,50166,51636,101802
21,AREA # 21,Puno,30-34,42471,44666,87137
21,AREA # 21,Puno,35-39,39116,42021,81137
21,AREA # 21,Puno,40-44,35395,35444,70839
21,AREA # 21,Puno,45-49,29347,30186,59533
21,AREA # 21,Puno,5-9,67948,65900,133848
21,AREA # 21,Puno,50-54,24652,24994,49646
21,AREA # 21,Puno,55-59,20398,20939,41337
21,AREA # 21,Puno,60-64,17309,18275,35584
21,AREA # 21,Puno,65-69,13575,14807,28382
21,AREA # 21,Puno,70-74,11683,12565,24248
21,AREA # 21,Puno,75-79,9202,9417,18619
21,AREA # 21,Puno,80-84,4832,5566,10398
21,AREA # 21,Puno,85-89,2998,3101,6099
21,AREA # 21,Puno,90-94,875,1122,1997
21,AREA # 21,Puno,95-99,995,1341,2336
22,AREA # 22,San Martin,0-4,43275,41428,84703
22,AREA # 22,San Martin,10-14,45292,42671,87963
22,AREA # 22,San Martin,15-19,41142,37114,78256
22,AREA # 22,San Martin,20-24,34465,31399,65864
22,AREA # 22,San Martin,25-29,30908,27960,58868
22,AREA # 22,San Martin,30-34,27537,25139,52676
22,AREA # 22,San Martin,35-39,25856,23642,49498
22,AREA # 22,San Martin,40-44,24490,19890,44380
22,AREA # 22,San Martin,45-49,19582,15320,34902
22,AREA # 22,San Martin,5-9,40630,38585,79215
22,AREA # 22,San Martin,50-54,14553,11712,26265
22,AREA # 22,San Martin,55-59,10431,8622,19053
22,AREA # 22,San Martin,60-64,8368,6869,15237
22,AREA # 22,San Martin,65-69,6046,5423,11469
22,AREA # 22,San Martin,70-74,4350,4140,8490
22,AREA # 22,San Martin,75-79,2979,2954,5933
22,AREA # 22,San Martin,80-84,1456,1718,3174
22,AREA # 22,San Martin,85-89,785,1056,1841
22,AREA # 22,San Martin,90-94,241,393,634
22,AREA # 22,San Martin,95-99,131,256,387
23,AREA # 23,Tacna,0-4,12581,12107,24688
23,AREA # 23,Tacna,10-14,13890,13267,27157
23,AREA # 23,Tacna,15-19,14496,14065,28561
23,AREA # 23,Tacna,20-24,14329,14597,28926
23,AREA # 23,Tacna,25-29,13475,14426,27901
23,AREA # 23,Tacna,30-34,11911,12928,24839
23,AREA # 23,Tacna,35-39,11051,11805,22856
